year,fiscal_side,momentti_tunnusp,momentti_snimi,hallinnonala,actual_eur,has_structural_guardrail,structural_relation_types,source_rows,observed_months,data_as_of,is_complete_year,coverage_status
2007,expense,29.01.21.,Opetusministeriön toimintamenot,Opetus- ja kulttuuriministeriön hallinnonala,24371635.23,false,,968,12,2007-12-01,true,complete
2007,expense,29.01.22.,Kehittämistoiminta,Opetus- ja kulttuuriministeriön hallinnonala,1154891.72,false,,1028,12,2007-12-01,true,complete
2007,expense,29.01.23.,Opetushallituksen toimintamenot,Opetus- ja kulttuuriministeriön hallinnonala,17629109.69,true,moved|moved|moved|moved|moved|moved|moved|moved|moved|moved,867,12,2007-12-01,true,complete
2007,expense,29.01.25.,Kansainvälinen yhteistyö,Opetus- ja kulttuuriministeriön hallinnonala,3885736.51,false,,282,12,2007-12-01,true,complete
2007,expense,29.01.26.,Eräät kopiointi- ja käyttöoikeuskorvaukset,Opetus- ja kulttuuriministeriön hallinnonala,10159000,false,,11,12,2007-12-01,true,complete
2007,expense,29.01.27.,Kansainvälisen henkilövaihdon keskuksen toimintamenot,Opetus- ja kulttuuriministeriön hallinnonala,7285086.88,true,moved|moved|moved|moved|moved|moved|moved|moved,912,12,2007-12-01,true,complete
2007,expense,29.01.29.,Opetusministeriön hallinnonalan arvonlisäveromenot,Maa- ja metsätalousministeriön hallinnonala,135983033.04,true,rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename,1761,12,2007-12-01,true,complete
2007,expense,29.01.50.,Eräät avustukset,Opetus- ja kulttuuriministeriön hallinnonala,485000,false,,4,12,2007-12-01,true,complete
2007,expense,29.01.51.,Avustukset kirkolliseen ja uskonnolliseen toimintaan,Opetus- ja kulttuuriministeriön hallinnonala,2319000,false,,13,12,2007-12-01,true,complete
2007,expense,29.01.62.,EU:n rakennerahastojen valtion rahoitusosuus opetusministeriön osalta,Opetus- ja kulttuuriministeriön hallinnonala,72503888.69,false,,1203,12,2007-12-01,true,complete
2007,expense,29.01.66.,Rahoitusosuudet kansainvälisille järjestöille,Opetus- ja kulttuuriministeriön hallinnonala,1958784.06,true,moved,6,12,2007-12-01,true,complete
2007,expense,29.01.70.,Kaluston hankinta,Opetus- ja kulttuuriministeriön hallinnonala,1369380.78,false,,115,12,2007-12-01,true,complete
2007,expense,29.05.21.,Ortodoksisen kirkollishallituksen toimintamenot,Opetus- ja kulttuuriministeriön hallinnonala,1921.71,false,,4,12,2007-12-01,true,complete
2007,expense,29.05.50.,Eräät avustukset,Opetus- ja kulttuuriministeriön hallinnonala,58000,false,,3,12,2007-12-01,true,complete
2007,expense,29.07.21.,Opetushallituksen toimintamenot,Opetus- ja kulttuuriministeriön hallinnonala,2152919.93,true,moved|moved|moved,285,12,2007-12-01,true,complete
2007,expense,29.08.22.,Venäjän ja Itä-Euroopan instituutin toimintamenot,Opetus- ja kulttuuriministeriön hallinnonala,109828.82,true,moved,18,12,2007-12-01,true,complete
2007,expense,29.08.25.,Kansainvälinen kulttuuriyhteistyö,Opetus- ja kulttuuriministeriön hallinnonala,1329994.66,false,,287,12,2007-12-01,true,complete
